AIRPORTCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYNAME,CURRENCYCODE
SOW,Show Low Regional Airport,SOW,Show Low,United States,USD
SOY,Stronsay,SOY,Stronsay,United Kingdom,GBP
SPC,La Palma,SPC,Santa Cruz de la Palma,Spain,EUR
SPD,Saidpur,SPD,Saidpur,Bangladesh,BDT
SPF,Black Hills,SPF,Spearfish,United States,USD
SPI,Capital,SPI,Springfield,United States,USD
CTS,Chitose,SPK,Sapporo,Japan,JPY
OKD,Okadama,SPK,Sapporo,Japan,JPY
SPN,Saipan Int'l,SPN,Saipan,Northern Mariana Islands,USD
SPP,Menongue,SPP,Menongue,Angola,AOA
SPR,San Pedro,SPR,San Pedro,Belize,BZD
SPS,Wichita Falls Municipal Airport,SPS,Wichita Falls,United States,USD
SPU,Split,SPU,Split,Croatia,HRK
SPW,Spencer Municipal,SPW,Spencer,United States,USD
SPY,San Pedro,SPY,San Pedro,Ivory Coast,
SQC,Southern Cross,SQC,Southern Cross,Australia,AUD
SQF,Solano,SQF,Solano,Colombia,COP
SQI,Whiteside County,SQI,Sterling Rockfls,United States,USD
SQO,Gunnarn Airport,SQO,Storuman,Sweden,SEK
SRA,Santa Rosa Airport,SRA,Santa Rosa,Brazil,BRL
SRE,Sucre,SRE,Sucre,Bolivia,BOB
SRG,Achmad Uani,SRG,Semarang,Indonesia,IDR
SRH,Sarh,SRH,Sarh,Chad,XAF
SRI,Samarinda,SRI,Samarinda,Indonesia,IDR
SRJ,Capitan G Y Guardia,SRJ,San Borja,Bolivia,BOB
SRN,Strahan,SRN,Strahan,Australia,AUD
SRO,Santana Ramos,SRO,Santana Ramos,Colombia,COP
SRP,Stord,SRP,Stord,Norway,NOK
SRQ,Bradenton,SRQ,Sarasota,United States,USD
SRV,Stony River,SRV,Stony River,United States,USD
SRX,Sert,SRX,Sert,Libyan Arab Jamahiriya,LYD
SRZ,El Trompillo,SRZ,Santa Cruz,Bolivia,BOB
VVI,Viru Viru Int'l,SRZ,Santa Cruz,Bolivia,BOB
SSA,Dois De Julho,SSA,Salvador,Brazil,BRL
SSE,Sholapur,SSE,Sholapur,India,INR
SSG,Santa Isabel,SSG,Malabo,Equatorial Guinea,EUR
SSH,Ophira,SSH,Sharm El Sheikh,Egypt,EGP
BQK,Glynco Jetport,SSI,Brunswick,United States,USD
SSJ,Stokka,SSJ,Sandnessjoen,Norway,NOK
CIU,Chippewa County,SSM,Sault Ste Marie,United States,USD
SSR,Sara,SSR,Sara,Vanuatu,VUV
SSS,Siassi,SSS,Siassi,Papua New Guinea,PGK
SSY,M'Banza Congo,SSY,M'Banza Congo,Angola,AOA
STA,Stauning,STA,Stauning,Denmark,DKK
STB,L Delicias,STB,Santa Barbara Ed,Venezuela,VEF
STD,Mayo Guerrero,STD,Santo Domingo,Venezuela,VEF
STG,St George Island,STG,St George Island,United States,USD
STI,Santiago Municipal,STI,Santiago,Dominican Republic,DOP
STL,Lambert-St Louis Int'l,STL,St Louis,United States,USD
STM,Eduardo Gomes,STM,Santarem,Brazil,BRL
ARN,Arlanda,STO,Stockholm,Sweden,SEK
BMA,Bromma,STO,Stockholm,Sweden,SEK
NYO,Skavsta,STO,Stockholm,Sweden,SEK
STP,St Paul Downtown,STP,St Paul,United States,USD
STR,Stuttgart-Echterdingen,STR,Stuttgart,Germany,EUR
STS,Sonoma County,STS,Santa Rosa,United States,USD
STT,St Thomas Island,STT,St Thomas,Virgin Islands (US),USD
STV,Surat,STV,Surat,India,INR
STW,Stavropol,STW,Stavropol,Russian Federation,RUB
STX,Henry E Rohlsen,STX,St Croix Island,Virgin Islands (US),USD
STY,Salto,STY,Salto,Uruguay,UYU
STZ,Confresa,STZ,Santa Terezinha,Brazil,BRL
SUA,Witham Field,SUA,Stuart,United States,USD
SUB,Juanda,SUB,Surabaya,Indonesia,IDR
SUE,Door County,SUE,Sturgeon Bay,United States,USD
SUF,S Eufemia,SUF,Lamezia Terme,Italy,EUR
SUG,Surigao Airport,SUG,Surigao,Philippines,PHP
SUH,Sur,SUH,Sur,Oman,OMR
SUI,Babusheri,SUI,Sukhumi,Georgia,GEL
SUJ,Satu Mare,SUJ,Satu Mare,Romania,RON
SUL,Sui,SUL,Sui,Pakistan,PKR
SUN,Sun Valley,SUN,Hailey,United States,USD
SUT,Sumbawanga,SUT,Sumbawanga,Tanzania,TZS
SUV,Nausori,SUV,Suva,Fiji Islands,FJD
SUX,Siouc Gateway,SUX,Sioux City,United States,USD
SVA,Savoonga,SVA,Savoonga,United States,USD
SVB,Sambava,SVB,Sambava,Madagascar,MGA
SVC,Grant County,SVC,Silver City,United States,USD
SVD,St Vincent,SVD,St Vincent,St. Vincent & the Grenadines,XCD
SVG,Sola,SVG,Stavanger,Norway,NOK
SVI,San Vicente,SVI,San Vicente,Colombia,COP
SVJ,Helle,SVJ,Svolvaer,Norway,NOK
SVL,Savonlinna,SVL,Savonlinna,Finland,EUR
SVP,Kuito,SVP,Kuito,Angola,AOA
SVQ,Sevilla,SVQ,Sevilla,Spain,EUR
SVS,Stevens Village,SVS,Stevens Village,United States,USD
SVU,Savusavu,SVU,Savusavu,Fiji Islands,FJD
SVX,Ekaterinburg,SVX,Ekaterinburg,Russian Federation,RUB
SVZ,San Antonio,SVZ,San Antonio,Venezuela,VEF
SWA,Shantou,SWA,Shantou,China,CNY
SWD,Seward,SWD,Seward,United States,USD
SWG,Satwag,SWG,Satwag,Papua New Guinea,PGK
SWJ,South West Bay,SWJ,South West Bay,Vanuatu,VUV
SWO,Stillwater Regional Airport,SWO,Stillwater,United States,USD
SWP,Swakopmund,SWP,Swakopmund,Namibia,NAD
SWQ,Brang Bidji,SWQ,Sumbawa,Indonesia,IDR
SWS,Swansea Airport,SWS,Swansea,United Kingdom,GBP
SWX,Shakawe,SWX,Shakawe,Botswana,BWP
SWY,Sitiawan,SWY,Sitiawan,Malaysia,MYR
SXB,Entzheim,SXB,Strasbourg,France,EUR
SXD,Sophia Antipolis,SXD,Sophia Antipolis,France,EUR
SXH,Sehulea,SXH,Sehulea,Papua New Guinea,PGK
SXL,Collooney,SXL,Sligo,Ireland,EUR
SXM,St Maarten,SXM,St Maarten,Netherlands Antilles,ANG
SXO,Sao Felix Do Arag,SXO,Sao Felix Do Arag,Brazil,BRL
SXR,Srinagar,SXR,Srinagar,India,INR
SXS,Sahabat 16,SXS,Sahabat 16,Malaysia,MYR
SXT,Taman Negara,SXT,Taman Negara,Malaysia,MYR
SXU,Soddu,SXU,Soddu,Ethiopia,ETB
SXV,Salem,SXV,Salem,India,INR
SXZ,Siirt,SXZ,Siirt,Turkey,TRY
SYB,Seal Bay,SYB,Seal Bay,United States,USD
SYD,Kingsford Smith,SYD,Sydney,Australia,AUD
SYR,Hancock Int'l,SYR,Syracuse,United States,USD
SYU,Warraber Island,SYU,Sue Island,Australia,AUD
SYX,Sanya,SYX,Sanya,China,CNY
SYY,Stornoway,SYY,Stornoway,United Kingdom,GBP
SYZ,Shiraz,SYZ,Shiraz,Iran,IRR
SZA,Soyo,SZA,Soyo,Angola,AOA
SZF,Samsun Carsamba Airport,SZF,Samsun,Turkey,TRY
SZG,Salzburg,SZG,Salzburg,Austria,EUR
SZK,Skukuza,SZK,Skukuza,South Africa,ZAR
SZS,Stewart Island,SZS,Stewart Island,New Zealand,NZD
SZX,Shenzhen,SZX,Shenzhen,China,CNY
SZY,Olsztyn - Mazury Airport,SZY,Szymany,Poland,PLN
SZZ,Goleviow,SZZ,Szczecin,Poland,PLN
TAB,Tobago,TAB,Tobago,Trinidad and Tobago,TTD
TAC,D.Z. Romualdez,TAC,Tacloban,Philippines,PHP
TAE,Taegu,TAE,Taegu,South Korea,KRW
TAG,Tagbilaran Airport,TAG,Tagbilaran,Philippines,PHP
TAH,Tanna,TAH,Tanna,Vanuatu,VUV
TAI,Tadji,TAI,Taiz,Yemen,YER
TAK,Takamatsu,TAK,Takamatsu,Japan,JPY
TAL,Ralph Calhoun,TAL,Tanana,United States,USD
TAM,Gen F Javier Mina,TAM,Tampico,Mexico,MXN
TAO,Qingdao,TAO,Qingdao,China,CNY
TAP,Tapachula Int'l,TAP,Tapachula Intl,Mexico,MXN
TAQ,TARCOOLA,TAQ,Tarcoola,Australia,AUD
TAS,Tashkent,TAS,Tashkent,Uzbekistan,UZS
TAT,Tatry Poprad,TAT,Tatry Poprad,Slovakia,SKK
TAV,Tau,TAV,Tau,American Samoa,USD
TAW,Tacuarembo,TAW,Tacuarembo,Uruguay,UYU
TAY,Tartu Ulenurme,TAY,Tartu,Estonia,EEK
TAZ,Tashauz,TAZ,Tashauz,Turkmenistan,TMM
TBB,Dong Tac Airport,TBB,Tuy Hoa,Vietnam,VND
TBE,Timbunke,TBE,Timbunke,Papua New Guinea,PGK
TBF,Tabiteuea North,TBF,Tabiteuea North,Kiribati,AUD
TBG,Tabubil,TBG,Tabubil,Papua New Guinea,PGK
TBH,Tugdan Airport,TBH,Tablas,Philippines,PHP
TBJ,Tabarka Ain Draham Intl Airport,TBJ,Tabarka,Tunisia,TND
TBN,Forney Aaf,TBN,Ftlenwood Tribune,United States,USD
TBO,Tabora,TBO,Tabora,Tanzania,TZS
TBP,Tumbes,TBP,Tumbes,Peru,PEN
TBS,Novo Alexeyevka,TBS,Tbilisi,Georgia,GEL
TBT,Tabatinga Internacional,TBT,Tabatinga,Brazil,BRL
TBU,Tongatapu Int'l,TBU,Tongatapu,Tonga,TOP
TBY,Tsabong,TBY,Tsabong,Botswana,BWP
TBZ,Tabriz,TBZ,Tabriz,Iran,IRR
TCA,Tennant Creek,TCA,Tennant Creek,Australia,AUD
TCB,Treasure Cay,TCB,Treasure Cay,Bahamas,BSD
TCH,Tchibanga,TCH,Tchibanga,Gabon,XAF
TFN,Tenerife Norte Los Rodeos,TCI,Tenerife,Spain,EUR
TFS,Tenerife Sur Reina Sofia,TCI,Tenerife,Spain,EUR
TCL,Van De Graaf,TCL,Tuscaloosa,United States,USD
TCN,Tehuacan,TCN,Tehuacan,Mexico,MXN
TCO,Tumaco,TCO,Tumaco,Colombia,COP
TCP,Taba international,TCP,Taba,Egypt,EGP
TCQ,Tacna,TCQ,Tacna,Peru,PEN
TCR,Tuticorin,TCR,Tuticorin,India,INR
TCT,Takotna,TCT,Takotna,United States,USD
TCU,Thaba Nchu,TCU,Thaba Nchu,South Africa,ZAR
TDA,Trinidad,TDA,Trinidad,Colombia,COP
TDB,Tetabedi,TDB,Tetabedi,Papua New Guinea,PGK
TDD,Trinidad,TDD,Trinidad,Bolivia,BOB
TDG,Tandag Apt,TDG,Tandag,Philippines,PHP
TDJ,Tadjoura,TDJ,Tadjoura,Djibouti,DJF
TDK,Taldykorgan Airport,TDK,Taldy Kurgan,Kazakhstan,KZT
TDV,Tanandava,TDV,Tanandava,Madagascar,MGA
TDX,Trat,TDX,Trat,Thailand,THB
TEB,Teterboro,TEB,Teterboro,United States,USD
TED,Thisted,TED,Thisted,Denmark,DKK
TEE,Tbessa,TEE,Tbessa,Algeria,DZD
TEF,Telfer,TEF,Telfer,Australia,AUD
TEG,Tenkodogo,TEG,Tenkodogo,Burkina Faso,XOF
TEI,Tezu,TEI,Tezu,India,INR
TEN,Tongren Fenghuang Airport,TEN,Tongren,China,CNY
TEO,Terapo,TEO,Terapo,Papua New Guinea,PGK
TEP,Teptep Airport,TEP,Teptep,Papua New Guinea,PGK
TEQ,Tekirdag Corlu Airport,TEQ,Tekirdag,Turkey,TRY
TER,Lajes,TER,Terceira Island,Portugal,EUR
TES,Tessenei,TES,Tessenei,Eritrea,ERN
TET,Matunda,TET,Tete,Mozambique,MZN
TEU,Manapouri,TEU,Te Anau,New Zealand,NZD
TEX,Telluride,TEX,Telluride,United States,USD
TEY,Thingeyri,TEY,Thingeyri,Iceland,ISK
TEZ,Salonibari,TEZ,Tezpur,India,INR
TFF,Tefe,TFF,Tefe,Brazil,BRL
TFI,Tufi,TFI,Tufi,Papua New Guinea,PGK
TFL,Teofilo Otoni,TFL,Teofilo Otoni,Brazil,BRL
TFM,Telefomin,TFM,Telefomin,Papua New Guinea,PGK
TGD,,TGD,Podgorica,Yugoslavia,YUM
TGG,Sultan Mahmood,TGG,Kuala Terengganu,Malaysia,MYR
TGH,Tongoa,TGH,Tongoa,Vanuatu,VUV
TGI,Tingo Maria,TGI,Tingo Maria,Peru,PEN
TGJ,Tiga,TGJ,Tiga,New Caledonia,XPF
TGM,Tirgu Mures,TGM,Tirgu Mures,Romania,RON
TGN,La Trobe Traralgon,TGN,Traralgon,Australia,AUD
TGO,Tongliao,TGO,Tongliao,China,CNY
TGR,Touggourt,TGR,Touggourt,Algeria,DZD
TGT,Tanga,TGT,Tanga,Tanzania,TZS
TGU,Toncontin,TGU,Tegucigalpa,Honduras,HNL
TGV,Targovishte,TGV,Targovishte,Bulgaria,BGN
TGZ,Tuxtla Gutierrez,TGZ,Tuxtla Gutierrez,Mexico,MXN
THC,Tchien,THC,Tchien,Liberia,LRD
THD,Tinh Gia Thanh Hoa Airport,THD,Tinh Gia,Vietnam,VND
THE,Teresina,THE,Teresina,Brazil,BRL
THG,Thangool,THG,Thangool,Australia,AUD
THI,Tichitt,THI,Tichitt,Mauritania,MRO
THK,Thakhek,THK,Thakhek,Lao People's Democratic Republic,LAK
THL,Tachilek,THL,Tachilek,Myanmar,MMK
THN,Trollhattan,THN,Trollhattan,Sweden,SEK
THO,Thorshofn,THO,Thorshofn,Iceland,ISK
IKA,Imam Khomeini Airport,THR,Tehran,Iran,IRR
THR,Mehrabad,THR,Tehran,Iran,IRR
THS,SUKHOTHAI,THS,Sukhothai,Thailand,THB
THT,Tamchakett,THT,Tamchakett,Mauritania,MRO
THY,Thohoyandou,THY,Thohoyandou,South Africa,ZAR
THZ,Tahoua,THZ,Tahoua,Niger,XOF
TIA,Rinas,TIA,Tirana,Albania,ALL
TIC,Tinak Island,TIC,Tinak Island,Marshall Islands,USD
TID,Bouchekif,TID,Tiaret,Algeria,DZD
TIE,Tippi,TIE,Tippi,Ethiopia,ETB
TIF,Taif Airport,TIF,Taif,Saudi Arabia,SAR
TIH,Tikehau Atoll,TIH,Tikehau Atoll,French Polynesia,XPF
TII,Tirinkot,TII,Tirinkot,Afghanistan,AFN
TIJ,Rodriguez,TIJ,Tijuana,Mexico,MXN
TIM,Timika,TIM,Tembagapura,Indonesia,IDR
TIN,Tindouf,TIN,Tindouf,Algeria,DZD
TIP,Tripoli Int'l,TIP,Tripoli,Libyan Arab Jamahiriya,LYD
TIQ,Tinian,TIQ,Tinian,Northern Mariana Islands,USD
TIR,Tirupati,TIR,Tirupati,India,INR
TIS,Thursday Island,TIS,Thursday Island,Australia,AUD
TIU,Timaru,TIU,Timaru,New Zealand,NZD
TIV,Tivat,TIV,Tivat,Yugoslavia,YUM
TIX,Space Center Exect.,TIX,Titusville,United States,USD
TIY,Tidjikja,TIY,Tidjikja,Mauritania,MRO
TIZ,Tari,TIZ,Tari,Papua New Guinea,PGK
TJA,Tarija,TJA,Tarija,Bolivia,BOB
TJK,Tokat,TJK,Tokat,Turkey,TRY
TJL,Tres Lagoas,TJL,Tres Lagoas,Brazil,BRL
TJM,Tyumen,TJM,Tyumen,Russian Federation,RUB
TJQ,Bulutumbang,TJQ,Tandjung Pandan,Indonesia,IDR
TJS,Tanjung Selor,TJS,Tanjung Selor,Indonesia,IDR
TJU,Kulob Airport,TJU,Kulob,Tajikistan,TJS
TKC,Tiko,TKC,Tiko,Cameroon,XAF
TKD,Takoradi,TKD,Takoradi,Ghana,GHS
TKF,Truckee,TKF,Truckee,United States,USD
TKG,Branit,TKG,Bandar Lampung,Indonesia,IDR
TKH,Takhli Airport,TKH,Takhli,Thailand,THB
TKI,Tokeen,TKI,Tokeen,United States,USD
TKJ,Tok,TKJ,Tok,United States,USD
TKK,Truk,TKK,Truk,Micronesia,USD
TKN,Tokunoshima,TKN,Tokunoshima,Japan,JPY
TKP,Takapoto,TKP,Takapoto,French Polynesia,XPF
TKQ,Kigoma,TKQ,Kigoma,Tanzania,TZS
TKS,Tokushima,TKS,Tokushima,Japan,JPY
TKU,Turku,TKU,Turku,Finland,EUR
TKV,Tatakoto,TKV,Tatakoto,French Polynesia,XPF
TKX,Takaroa,TKX,Takaroa,French Polynesia,XPF
TLA,Teller,TLA,Teller,United States,USD
TLD,Tuli Lodge,TLD,Tuli Lodge,Botswana,BWP
TLE,Tulear,TLE,Tulear,Madagascar,MGA
TLH,Tallahassee Municipal,TLH,Tallahassee,United States,USD
TLI,Tolitoli,TLI,Tolitoli,Indonesia,IDR
TLL,Ulemiste,TLL,Tallinn,Estonia,EEK
TLM,Zenata,TLM,Tlemcen,Algeria,DZD
TLP,Tumolbil,TLP,Tumolbil,Papua New Guinea,PGK
TLS,Blagnac,TLS,Toulouse,France,EUR
TLT,Tuluksak,TLT,Tuluksak,United States,USD
SDV,Sde Dov,TLV,Tel Aviv,Israel,ILS
TLV,Ben Gurion Int'l,TLV,Tel Aviv,Israel,ILS
TMC,Tambolaka,TMC,Tambolaka,Indonesia,IDR
TMD,Timbedra,TMD,Timbedra,Mauritania,MRO
TME,Tame,TME,Tame,Colombia,COP
TMG,Tomanggong,TMG,Tomanggong,Malaysia,MYR
TMH,Tanahmerah,TMH,Tanahmerah,Indonesia,IDR
TMJ,Termez,TMJ,Termez Uz,Uzbekistan,UZS
TML,Tamale,TML,Tamale,Ghana,GHS
TMM,Tamatave,TMM,Tamatave,Madagascar,MGA
TMN,Tamana Island,TMN,Tamana Island,Kiribati,AUD
TMP,Tampere-Pirkkala,TMP,Tampere,Finland,EUR
TMR,Aguemar,TMR,Tamanrasset,Algeria,DZD
TMS,Sao Tome Is,TMS,Sao Tome Island,Sao Tome & Principe,STD
TMT,Trombetas,TMT,Trombetas,Brazil,BRL
TMW,Tamworth,TMW,Tamworth,Australia,AUD
TMY,Tiom,TMY,Tiom,Indonesia,IDR
TNA,Jinan,TNA,Jinan,China,CNY
TNE,Tanegashima,TNE,Tanegashima,Japan,JPY
TNG,Boukhalef,TNG,Tangier,Morocco,MAD
TNI,Satna,TNI,Satna,India,INR
TNJ,Kidjang,TNJ,Tanjung Pinang,Indonesia,IDR
TNK,Tununak,TNK,Tununak,United States,USD
TNN,Tainan,TNN,Tainan,Taiwan,TWD
TNR,Antananarivo,TNR,Antananarivo,Madagascar,MGA
TOA,Torrance,TOA,Torrance,United States,USD
TOB,Tobruk,TOB,Tobruk,Libyan Arab Jamahiriya,LYD
TOD,Tioman,TOD,Tioman,Malaysia,MYR
TOE,Tozeur,TOE,Tozeur,Tunisia,TND
TOF,Tomsk,TOF,Tomsk,Russian Federation,RUB
TOG,Togiak Village,TOG,Togiak Village,United States,USD
TOH,Torres Airstrip,TOH,Torres,Vanuatu,VUV
TOJ,Madrid - Torrejon Airport,TOJ,Madrid,Spain,EUR
TOL,Toledo Express,TOL,Toledo,United States,USD
TOM,Tombouctou,TOM,Tombouctou,Mali,XOF
TOP,Philip Billard,TOP,Topeka,United States,USD
TOR,Torrington Municipal,TOR,Torrington,United States,USD
TOS,Tromso/Langnes,TOS,Tromso,Norway,NOK
TOU,Touho,TOU,Touho,New Caledonia,XPF
TOY,Toyama,TOY,Toyama,Japan,JPY
TOZ,Touba,TOZ,Touba,Ivory Coast,
TPA,Tampa Int'l,TPA,Tampa,United States,USD
TPB,Bristol Temple Meads,TPB,Bristol,United Kingdom,GBP
TPC,Tarapoa,TPC,Tarapoa,Ecuador,USD
TPE,Chiang Kai Chek,TPE,Taipei,Taiwan,TWD
TSA,Sung Shan,TPE,Taipei,Taiwan,TWD
TPP,Tarapoto,TPP,Tarapoto,Peru,PEN
TPQ,Tepic,TPQ,Tepic,Mexico,MXN
TPS,Birgi,TPS,Trapani,Italy,EUR
TRB,Turbo,TRB,Turbo,Colombia,COP
TRC,Torreon,TRC,Torreon,Mexico,MXN
TRD,Vaernes,TRD,Trondheim,Norway,NOK
TRE,Tiree,TRE,Tiree,United Kingdom,GBP
TRG,Tauranga,TRG,Tauranga,New Zealand,NZD
TRI,Tri-Cities,TRI,Bristol,United States,USD
TRK,Tarakan,TRK,Tarakan,Indonesia,IDR
TRN,Sandro Pertini,TRN,Turin,Italy,EUR
TRO,Taree,TRO,Taree,Australia,AUD
TRS,Dei Legionari,TRS,Trieste,Italy,EUR
TRU,Trujillo,TRU,Trujillo,Peru,PEN
TRV,Trivandrum Int'l,TRV,Trivandrum,India,INR
TRW,Bonriki,TRW,Tarawa,Kiribati,AUD
TRZ,Tiruchirapally Civil,TRZ,Tiruchirapally,India,INR
TSB,Tsumeb,TSB,Tsumeb,Namibia,NAD
TSD,Tshipise,TSD,Tshipise,South Africa,ZAR
TSE,Astana,TSE,Astana,Kazakhstan,KZT
TSH,Tshikapa,TSH,Tshikapa,Congo (Rep. Dem.),CDF
TSJ,Tsushima,TSJ,Tsushima,Japan,JPY
TSM,Taos,TSM,Taos,United States,USD
TSN,Tianjin,TSN,Tianjin,China,CNY
TSP,Tehachapi Municipal Airport,TSP,Tehachapi,United States,USD
TSR,Timisoara,TSR,Timisoara,Romania,RON
TST,Trang,TST,Trang,Thailand,THB
TSU,Tabiteuea South,TSU,Tabiteuea South,Kiribati,AUD
TSV,Townsville,TSV,Townsville,Australia,AUD
TTA,Tan Tan,TTA,Tan Tan,Morocco,MAD
TTB,Arbatax,TTB,Tortoli,Italy,EUR
TTE,Babullah,TTE,Ternate,Indonesia,IDR
TTJ,Tottori,TTJ,Tottori,Japan,JPY
TTN,Mercer County,TTN,Trenton,United States,USD
TTR,Tana Toraja,TTR,Tana Toraja,Indonesia,IDR
TTS,Tsaratanana,TTS,Tsaratanana,Madagascar,MGA
TTT,Taitung,TTT,Taitung,Taiwan,TWD
TTU,Sania Ramel,TTU,Tetuan,Morocco,MAD
TUA,Tulcan,TUA,Tulcan,Ecuador,USD
TUB,Tubuai,TUB,Tubuai,French Polynesia,XPF
TUC,Benj Matienzo,TUC,Tucuman,Argentina,ARS
TUD,Tambacounda,TUD,Tambacounda,Senegal,XOF
TUF,St Symphorien,TUF,Tours,France,EUR
TUG,Tuguegarao Airport,TUG,Tuguegarao,Philippines,PHP
TUI,,TUI,Turaif,Saudi Arabia,SAR
TUJ,Tum,TUJ,Tum,Ethiopia,ETB
TUK,Turbat,TUK,Turbat,Pakistan,PKR
TUL,Tulsa Int'l,TUL,Tulsa,United States,USD
TUM,Tumut,TUM,Tumut,Australia,AUD
TUN,Carthage,TUN,Tunis,Tunisia,TND
TUO,Taupo,TUO,Taupo,New Zealand,NZD
TUP,Lemons Municipal,TUP,Tupelo,United States,USD
TUR,Tucurui,TUR,Tucurui,Brazil,BRL
AVW,Avra Valley,TUS,Tucson,United States,USD
TUS,Tucson Int'l,TUS,Tucson,United States,USD
TUU,TABUK,TUU,Tabuk,Saudi Arabia,SAR
TUV,Tucupita,TUV,Tucupita,Venezuela,VEF
TUZ,Tucuma,TUZ,Tucuma,Brazil,BRL
TVA,Morafenobe,TVA,Morafenobe,Madagascar,MGA
TVC,Traverse City,TVC,Traverse City,United States,USD
TVF,Thief River Falls,TVF,Thief River Falls,United States,USD
TVL,Lake Tahoe South,TVL,Lake Tahoe South,United States,USD
TVU,Matei,TVU,Taveuni,Fiji Islands,FJD
TWA,Twin Hills,TWA,Twin Hills,United States,USD
TWB,Toowoomba,TWB,Toowoomba,Australia,AUD
TWF,Twin Falls City County,TWF,Twin Falls,United States,USD
TWT,Sanga-Sanga Airport,TWT,Tawitawi,Philippines,PHP
TWU,Tawau,TWU,Tawau,Malaysia,MYR
TXF,Teixeira de Freitas,TXF,Teixeira Freitas,Brazil,BRL
TXG,Taichung,TXG,Taichung,Taiwan,TWD
TXK,Texarkana Municipal,TXK,Texarkana,United States,USD
TXM,Teminabuan,TXM,Teminabuan,Indonesia,IDR
TXN,Tunxi,TXN,Tunxi,China,CNY
TXU,Tabou,TXU,Tabou,Ivory Coast,
TYF,Torsby Airport,TYF,Torsby,Sweden,SEK
TYL,Talara,TYL,Talara,Peru,PEN
TYN,Taiyuan,TYN,Taiyuan,China,CNY
HND,Haneda,TYO,Tokyo,Japan,JPY
NRT,Narita,TYO,Tokyo,Japan,JPY
TYR,Pounds Field,TYR,Tyler,United States,USD
TYS,Mc Ghee Tyson,TYS,Knoxville,United States,USD
TZL,Tuzla Intl Airport,TZL,Tuzla,Bosnia and Herzegowina,BAM
TZN,South Andros,TZN,South Andros,Bahamas,BSD
TZX,Trabzon,TZX,Trabzon,Turkey,TRY
UAC,San Luis Rio Colorado,UAC,San Luis Rio Colorado,Mexico,MXN
UAE,MOUNT AUE,UAE,Mount Aue,Papua New Guinea,PGK
UAH,Ua Huka,UAH,Ua Huka,French Polynesia,XPF
UAK,Narsarsuaq,UAK,Narsarsuaq,Greenland,DKK
UAL,Luau,UAL,Luau,Angola,AOA
UAP,Ua Pou,UAP,Ua Pou,French Polynesia,XPF
UAQ,San Juan,UAQ,San Juan,Argentina,ARS
UAS,Samburu,UAS,Samburu,Kenya,KES
UBA,Uberaba,UBA,Uberaba,Brazil,BRL
UBB,Mabuiag Island,UBB,Mabuiag Island,Australia,AUD
UBJ,Ube,UBJ,Ube,Japan,JPY
UBP,Muang Ubon,UBP,Ubon Ratchathani,Thailand,THB
GTR,Golden Triangle Regional,UBS,Columbus,United States,USD
UCA,Oneida County,UCA,Utica,United States,USD
UCC,YUCCA FLAT,UCC,Yucca Flat,United States,USD
UCN,Buchanan,UCN,Buchanan,Liberia,LRD
UCT,Ukhta,UCT,Ukhta,Russian Federation,RUB
UDI,Eduardo Gomes,UDI,Uberlandia,Brazil,BRL
UDJ,Uzhgorod,UDJ,Uzhgorod,Ukraine,UAH
UDR,Dabok,UDR,Udaipur,India,INR
UEE,Queenstown,UEE,Queenstown,Australia,AUD
UEL,Quelimane,UEL,Quelimane,Mozambique,MZN
UEO,Kumejima,UEO,Kumejima,Japan,JPY
UET,Quetta,UET,Quetta,Pakistan,PKR
UFA,Ufa,UFA,Ufa,Russian Federation,RUB
UGC,Urgench,UGC,Urgench,Uzbekistan,UZS
UGI,Uganik,UGI,Uganik,United States,USD
UGN,Waukegan Memorial,UGN,Waukegan,United States,USD
UGO,Uige,UGO,Uige,Angola,AOA
UIB,Quibdo,UIB,Quibdo,Colombia,COP
UIH,Qui Nhon Phu Cat Airport,UIH,Qui Nhon,Vietnam,VND
UII,Utila,UII,Utila,Honduras,HNL
UIN,Quincy Municipal,UIN,Quincy,United States,USD
UIO,Mariscal Sucr,UIO,Quito,Ecuador,USD
UIP,Pluguffan,UIP,Quimper,France,EUR
UIR,Quirindi,UIR,Quirindi,Australia,AUD
UIT,Jaluit Island,UIT,Jaluit Island,Marshall Islands,USD
UJE,Ujae Island,UJE,Ujae Island,Marshall Islands,USD
UKB,,UKB,Kobe,Japan,JPY
UKK,Ust Kamenogorsk,UKK,Ust Kamenogorsk,Kazakhstan,KZT
UKR,Mukeiras,UKR,Mukeiras,Yemen,YER
UKU,Nuku,UKU,Nuku,Papua New Guinea,PGK
ULB,Ulei,ULB,Ulei,Vanuatu,VUV
ULH,Prince Abdul Majeed bin Abdulaziz Airport,ULH,Al-Ula,Saudi Arabia,SAR
ULN,Ulan Bator,ULN,Ulan Bator,Mongolia,MNT
ULP,Quilpie,ULP,Quilpie,Australia,AUD
ULQ,Heriberto Gil Martinez Airport,ULQ,Tulua,Colombia,COP
ULV,Ulyanovsk Baratayevka Airport,ULV,Ulyanovsk,Russian Federation,RUB
ULY,Ulyanovsk,ULY,Ulyanovsk,Russian Federation,RUB
UMD,Uummannaq,UMD,Uummannaq,Greenland,DKK
UME,Umea,UME,Umea,Sweden,SEK
UMR,Woomera,UMR,Woomera,Australia,AUD
UNA,Una,UNA,Una,Brazil,BRL
