AIRPORTCODE,AIRPORTNAME,CITYCODE,CITYNAME,COUNTRYNAME,CURRENCYCODE
ILR,Ilorin,ILR,Ilorin,Nigeria,NGN
ILU,Kilaguni,ILU,Kilaguni,Kenya,KES
ILY,Glenegedale,ILY,Islay,United Kingdom,GBP
IMA,Iamalele,IMA,Iamalele,Papua New Guinea,PGK
IMD,Imonda,IMD,Imonda,Papua New Guinea,PGK
IMF,Imphal Municipal,IMF,Imphal,India,INR
IMI,Ine Island,IMI,Ine Island,Marshall Islands,USD
IMO,Zemio,IMO,Zemio,Central African Republic,XAF
IMP,Imperatriz,IMP,Imperatriz,Brazil,BRL
IMR,Milano Rogoredo railway station,IMR,Milan,Italy,EUR
IMT,Ford,IMT,Iron Mountain,United States,USD
INC,Yinchuan,INC,Yinchuan,China,CNY
IND,Indianapolis Int'l,IND,Indianapolis,United States,USD
INF,In Guezzam,INF,In Guezzam,Algeria,DZD
ING,Lago Argentino,ING,Lago Argentino,Argentina,ARS
INH,Inhambane,INH,Inhambane,Mozambique,MZN
INI,Nis,INI,Nis,Yugoslavia,YUM
INL,Int'l Falls,INL,Intl Falls,United States,USD
INN,Kranebitten,INN,Innsbruck,Austria,EUR
INO,Inongo,INO,Inongo,Congo (Rep. Dem.),CDF
INP,Naples Central Train Station,INP,Naples,Italy,EUR
INQ,Inisheer,INQ,Inisheer,Ireland,EUR
INU,Nauru Island Int'l,INU,Nauru Island,Nauru,AUD
INV,Inverness,INV,Inverness,United Kingdom,GBP
INX,Inanwatan,INX,Inanwatan,Indonesia,IDR
INZ,In Salah,INZ,In Salah,Algeria,DZD
IOA,Ioannina,IOA,Ioannina,Greece,EUR
IOB,Innsbruck Hbf,IOB,Innsbruck,Austria,EUR
IOM,Ronaldsway,IOM,Isle Of Man,United Kingdom,GBP
ION,Impfondo,ION,Impfondo,Congo,CDF
IOP,Ioma,IOP,Ioma,Papua New Guinea,PGK
IOR,Kilronan,IOR,Inishmore,Ireland,EUR
IOS,Eduardo Gomes,IOS,Ilheus,Brazil,BRL
IPA,Ipota,IPA,Ipota,Vanuatu,VUV
IPC,Mataveri Int'l,IPC,Easter Island,Chile,CLP
IPG,Ipiranga,IPG,Ipiranga,Brazil,BRL
IPH,Ipoh,IPH,Ipoh,Malaysia,MYR
IPI,Ipiales,IPI,Ipiales,Colombia,COP
IPL,Imperial County,IPL,El Centro,United States,USD
IPN,Usiminas,IPN,Ipatinga,Brazil,BRL
IPT,Lycoming County,IPT,Williamsport,United States,USD
IQQ,Cavancha,IQQ,Iquique,Chile,CLP
IQT,C.F. Secada,IQT,Iquitos,Peru,PEN
